fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,05,BIHAR,0504,ROHTAS,903800,0,0,0,0,22,201,17071,0,0,62845,0,4657,0.16108,19.19589,0,0,188506,234041,0,439971,552200,17093,19.03481,0,34,0,0,0,NA
2025-2026,April,05,BIHAR,0505,AURANAGABAD,1211590,0,0,0,6.7342,38,116,20610,0,0,96749,0,2590,0,80.4902004,0,0,231829,292220,0,541171,690697,20648,73.7560004,0,32,0,0,0,NA
2025-2026,April,05,BIHAR,0520,MADHUBANI,840468,0,0,0,0,27,332,40687,0,0,58003,0,994,1.80344,43.9605337,0,0,253842,314828,0,978968,1334219,40714,42.1570937,0,80,0,0,0,NA
2025-2026,April,05,BIHAR,0521,SAHARSA,1729309,0,0,0,3.76252,71,87,23331,0,0,48918,0,967,0,116.4432269,0,0,270301,335583,0,494087,613053,23402,112.6807069,0,84,0,0,0,NA
2025-2026,April,05,BIHAR,0550,JAMUI,1092882,0,0,0,0,70,125,19802,0,0,71379,0,16974,0,27.8548752,0,0,237168,315879,0,443105,603428,19872,27.8548752,0,61,0,0,0,NA
2025-2026,April,05,BIHAR,0551,ARWAL,277864,60089.9813043478,1,0,0,0,46,6680,23,2,13922,0,567,0,13.8206957,17,23,79202,91482,0,178794,204966,6680,13.8206957,14,50,0,0,0,NA
2025-2026,April,05,BIHAR,0502,NALANDA,1612144,58524.6006842105,3,0,0,398,28,24730,760,200,87392,3,798,0,444.7869652,201,216,259329,316112,0,570576,778203,25128,444.7869652,451,29,0,0,100,NA
2025-2026,April,05,BIHAR,0506,JEHANABAD,828908,6665603.12000001,1,0,0.02065,239,34,7159,2,1,40575,0,1008,0.10686,133.4395724,2,2,95783,128715,0,218645,294806,7398,133.3120624,0,47,7.27,92.73,100,NA
2025-2026,April,05,BIHAR,0509,SARAN,1032347,47899.9628713858,1,0,0,387,49,30825,1003,39,37843,3,4380,0,480.4366276,829,829,266167,269830,0,680308,708099,31212,480.4366276,718,70,2.65,0,100,NA
2025-2026,April,05,BIHAR,0511,GOPALGANJ,600651,19981.2223970723,2,0,0,220,41,15905,1093,128,20351,28,5983,0,218.3947608,377,382,115074,137034,0,318075,373195,16125,218.3947608,692,33,39.22,0,100,NA
2025-2026,April,05,BIHAR,0526,MUNGER,763620,103691.858365384,8,0,0,176,54,12391,104,0,17588,0,3863,0,107.8395327,13,13,125977,147689,0,235621,276231,12567,107.8395327,16,49,49.99,0,0,NA
2025-2026,April,05,BIHAR,0527,BHAGALPUR,773597,38168.7588542258,1,3,0,300,40,23240,1763,46,34373,9,8571,0,672.9152186,981,1140,175082,217653,0,501888,702934,23540,672.9152186,973,75,31.23,0,100,NA
2025-2026,April,05,BIHAR,0541,ARARIA,820034,6898.23382780554,1,3,0,794,48,27875,4402,132,47165,28,4564,0,303.6602531,3069,3631,255418,342281,0,687634,944701,28669,303.6602531,3021,65,72.24,0,100,NA
2025-2026,April,05,BIHAR,0543,SHEOHAR,184334,339903.953529412,1,0,0.06195,8,24,9337,17,0,13499,0,78,0,57.8456221,17,17,63016,88906,0,152777,204442,9345,57.7836721,13,64,0,0,100,NA
2025-2026,April,05,BIHAR,0548,BUXAR ,730603,34845.8525730994,3,0,3.74856,278,66,13047,342,110,39411,10,5163,0,122.9213758,104,104,135985,147888,0,321225,347628,13325,119.1728158,221,60,0,0,100,NA
2025-2026,April,05,BIHAR,0549,KAIMUR (BHABUA),630354,98504.1672625698,1,1,0,168,39,11321,179,40,54281,4,10266,0,176.3224594,169,169,142887,188128,0,320089,412893,11489,176.3224594,118,30,0,0,100,NA
2025-2026,April,05,BIHAR,0551,ARWAL,277864,37689.9121564886,1,3,0,251,5,6951,524,38,14049,1,569,0,197.4951397,383,473,79849,92304,0,179971,206331,7202,197.4951397,279,53,0,0,100,NA
2025-2026,April,05,BIHAR,0506,JEHANABAD,828908,629.649366590389,16,12,0.02065,495,16,7219,32775,10719,40556,242,1006,0,206.3882299,2000,2302,95901,128760,0,220602,296792,7714,206.3675799,17687,48,21.53,63.15,100,NA
2025-2026,April,05,BIHAR,0508,NAWADA,1083462,1406.76774335426,8,35,0,684,17,23845,36151,9881,90465,98,2802,0,508.5606069,4210,4295,287755,301980,0,646130,674487,24529,508.5606069,21888,52,44.42,44.69,100,NA
2025-2026,April,05,BIHAR,0509,SARAN,1032347,440.899949673849,12,5,0,954,25,35449,149624,10530,37869,1284,4382,0,659.6921407,12377,12381,268397,272155,0,684717,712595,36403,659.6921407,109081,73,16.34,26.22,100,NA
2025-2026,April,05,BIHAR,0514,SITAMARHI,955841,3969.57523766456,11,0,0,881,64,34401,9951,1087,86127,0,2648,0,395.0124319,841,903,250325,302319,0,759302,943558,35282,395.0124319,6019,72,57.97,45.6,100,NA
2025-2026,April,05,BIHAR,0516,VAISHALI,1117361,1514.84281098455,11,1,0,2808,77,36962,17734,2187,58472,14,1689,0.29252,268.9347441,1547,1596,248379,259842,0,776221,803728,39770,268.6422241,11045,82,49.95,24.52,100,NA
2025-2026,April,05,BIHAR,0519,DARBHANGA,1054989,2409.11753645187,10,8,0,1062,62,34317,43482,4234,67427,212,918,0,1047.5324872,4222,4284,295711,334880,0,870684,965628,35379,1047.5324872,30179,66,29.02,30.39,100,NA
